"","baseMean","log2FoldChange","lfcSE","pvalue","padj","Symbol","absLFC"
"ENSG00000164530.15",3276.33368728828,-4.92850056049209,0.482471470704113,9.42483935660883e-26,6.71951704691508e-24,"PI16",4.92850056049209
"ENSG00000120903.13",45.1225251185944,-4.92849026234611,0.654874421848583,3.49636660941922e-15,7.579018277074e-14,"CHRNA2",4.92849026234611
"ENSG00000102854.16",142.578356414157,4.92711264705902,0.574432825537597,8.92868199661805e-07,5.45242256420245e-06,"MSLN",4.92711264705902
"ENSG00000261409.1",9.6096680886712,4.92476584356939,0.393593950823421,3.33309970513089e-06,1.83875142278278e-05,"AL035425.3",4.92476584356939
"ENSG00000156269.5",1.49769791237517,4.92365270612965,0.635675280737663,4.88047975671618e-07,3.12917850110721e-06,"NAA11",4.92365270612965
"ENSG00000142661.19",140.779003568279,-4.92315583725066,0.276401466223291,1.93967384992356e-06,1.11140821937569e-05,"MYOM3",4.92315583725066
"ENSG00000109208.5",0.86521528650712,-4.91995910408981,1.48721249753828,0.000190403492595803,0.000735912121520418,"SMR3A",4.91995910408981
"ENSG00000180914.10",6531.60349028015,-4.91555287912163,0.357661511765289,3.23703857947976e-44,2.27078256350505e-41,"OXTR",4.91555287912163
"ENSG00000172901.20",525.230456885649,-4.91277761589727,0.448598564412644,3.88734405293213e-29,4.00814760565317e-27,"LVRN",4.91277761589727
"ENSG00000127588.5",28.4207049842817,4.90909775940412,0.691582151628119,5.43296993634588e-14,1.00406893245364e-12,"GNG13",4.90909775940412
"ENSG00000137392.10",11.9511569722739,4.90266452747137,0.639488078463589,1.50973857837894e-15,3.45218686338988e-14,"CLPS",4.90266452747137
"ENSG00000175766.13",14.8488746878993,4.89878947556774,0.850119213386601,4.94117011756179e-10,5.17900018405275e-09,"EIF4E1B",4.89878947556774
"ENSG00000144908.14",1511.52073532709,-4.89562598762643,0.440354541097545,6.04710297524924e-30,6.96640449500561e-28,"ALDH1L1",4.89562598762643
"ENSG00000203805.11",347.050488661759,4.89417351635522,0.426800784703908,1.29432344384319e-31,1.796685588973e-29,"PLPP4",4.89417351635522
"ENSG00000287391.1",2.33061858751969,4.88997021378949,1.86349242958033,0.006582391482269,0.0173011285286669,"AC103871.1",4.88997021378949
"ENSG00000182352.8",12.2225432938896,-4.88314355893631,0.770726788243733,1.0786917647599e-11,1.45469712622135e-10,"C17orf77",4.88314355893631
"ENSG00000181577.16",86.1559341841792,-4.87407294728824,0.653384190647454,0.000435381696324743,0.00155105963166965,"C6orf223",4.87407294728824
"ENSG00000235643.2",0.958454787984601,4.87290323598686,1.59211535082542,0.000688239361143901,0.00234226761354734,"LINC01647",4.87290323598686
"ENSG00000266964.6",8.8766160335488,-4.8704128833753,0.518873661923258,3.06564339183622e-23,1.64298410647877e-21,"FXYD1",4.8704128833753
"ENSG00000253389.2",2.51618802954058,-4.86963235586783,0.668860074666404,1.77290121870668e-09,1.70786295918767e-08,"AC113133.1",4.86963235586783
"ENSG00000091704.10",67.8248059368074,-4.86804798637482,0.425386540146604,1.42091493872232e-31,1.95856920886905e-29,"CPA1",4.86804798637482
"ENSG00000234688.1",3.40008379090878,-4.86314338467919,0.905889644609377,2.36029588238653e-09,2.22781988091477e-08,"AL049749.1",4.86314338467919
"ENSG00000163993.7",1455.67491074744,4.86258581545693,0.490457846445704,2.25102937801196e-24,1.36465182231206e-22,"S100P",4.86258581545693
"ENSG00000145920.15",9.00637014679231,4.86232552411039,0.789577974830661,8.17282896755911e-07,5.01893720746587e-06,"CPLX2",4.86232552411039
"ENSG00000181195.11",214.71773097857,-4.86161345938149,0.457849493171473,1.52576742636215e-27,1.34390689635001e-25,"PENK",4.86161345938149
"ENSG00000107159.13",162.165596890763,4.86033323044044,0.5953462023135,1.89384777001369e-17,5.54794301246963e-16,"CA9",4.86033323044044
